commit_sha,vuln_count,vuln_ids,source_file,scan_type,duration_sec,skipped
ed0b1b58023276adc66615f3af9bee22d0d16e1b,0,,artifacts_folder/artifacts_full/full-scan-ed0b1b58023276adc66615f3af9bee22d0d16e1b.json,control_full,4,false
5b4b64c3467fd7a3c03f91ee641aaa348b6bed3b,0,,artifacts_folder/artifacts_full/full-scan-5b4b64c3467fd7a3c03f91ee641aaa348b6bed3b.json,control_full,4,false
a2fd25ff34b66ef71b54dfc90e09a4e4152357f6,0,,artifacts_folder/artifacts_full/full-scan-a2fd25ff34b66ef71b54dfc90e09a4e4152357f6.json,control_full,4,false
b653d80ded3680dc3780557ded01e23074f7e6a4,0,,artifacts_folder/artifacts_full/full-scan-b653d80ded3680dc3780557ded01e23074f7e6a4.json,control_full,5,false
a7e1c745dc23c18e836febd672416ed0c5d8d8ae,0,,artifacts_folder/artifacts_full/full-scan-a7e1c745dc23c18e836febd672416ed0c5d8d8ae.json,control_full,4,false
c65c780849563c891f35ffc98d3198b71011c012,0,,artifacts_folder/artifacts_full/full-scan-c65c780849563c891f35ffc98d3198b71011c012.json,control_full,4,false
d96f9982a276c73ab078b255c94397cf4d7f6cc2,0,,artifacts_folder/artifacts_full/full-scan-d96f9982a276c73ab078b255c94397cf4d7f6cc2.json,control_full,4,false
c4c8e20289ab82edad55d2fc07b42cbf08ae1441,0,,artifacts_folder/artifacts_full/full-scan-c4c8e20289ab82edad55d2fc07b42cbf08ae1441.json,control_full,4,false
8c36da656df15111c423975381f523e0b9db7326,0,,artifacts_folder/artifacts_full/full-scan-8c36da656df15111c423975381f523e0b9db7326.json,control_full,4,false
1f16cffa436ca8635a4660199a055c6beb171a07,0,,artifacts_folder/artifacts_full/full-scan-1f16cffa436ca8635a4660199a055c6beb171a07.json,control_full,5,false
f2a6ae5e3267f64c47059fd64e43c02e0891f523,0,,artifacts_folder/artifacts_full/full-scan-f2a6ae5e3267f64c47059fd64e43c02e0891f523.json,control_full,4,false
4ce9520a1cfa2e91abe5a923498f49e1fdb2e4ee,0,,artifacts_folder/artifacts_full/full-scan-4ce9520a1cfa2e91abe5a923498f49e1fdb2e4ee.json,control_full,5,false
579cd9f23319ebc65b71613f59e2b7b37d67276d,0,,artifacts_folder/artifacts_full/full-scan-579cd9f23319ebc65b71613f59e2b7b37d67276d.json,control_full,5,false
ad959acfcfa77c3d9360a5f62df4a4789eed0fb3,0,,artifacts_folder/artifacts_full/full-scan-ad959acfcfa77c3d9360a5f62df4a4789eed0fb3.json,control_full,5,false
e946665c5953ab40e6dbb29cc8c496ee625fdadd,0,,artifacts_folder/artifacts_full/full-scan-e946665c5953ab40e6dbb29cc8c496ee625fdadd.json,control_full,4,false
821770e822a20a21b207b3907ea83878bda1d396,0,,artifacts_folder/artifacts_full/full-scan-821770e822a20a21b207b3907ea83878bda1d396.json,control_full,4,false
c799b8167a13416833ad3b4f3298261a477e826f,0,,artifacts_folder/artifacts_full/full-scan-c799b8167a13416833ad3b4f3298261a477e826f.json,control_full,4,false
991f05dcd922b1c4036067cb0473abc17db3c806,0,,artifacts_folder/artifacts_full/full-scan-991f05dcd922b1c4036067cb0473abc17db3c806.json,control_full,4,false
7341690e842a23cf18ded0abd9229765fa88c4e2,0,,artifacts_folder/artifacts_full/full-scan-7341690e842a23cf18ded0abd9229765fa88c4e2.json,control_full,5,false
507409661335bd3dd8a7e39f04d07b42e519becc,0,,artifacts_folder/artifacts_full/full-scan-507409661335bd3dd8a7e39f04d07b42e519becc.json,control_full,5,false
1b7c37ef4e3db003cc52f09da9ab6b947054e245,0,,artifacts_folder/artifacts_full/full-scan-1b7c37ef4e3db003cc52f09da9ab6b947054e245.json,control_full,5,false
59f8aa2adf1d3d06bcbf7ce6b13743a1639a5401,0,,artifacts_folder/artifacts_full/full-scan-59f8aa2adf1d3d06bcbf7ce6b13743a1639a5401.json,control_full,4,false
e361622fae03f08b16c48a0a1414a718d9d45d25,0,,artifacts_folder/artifacts_full/full-scan-e361622fae03f08b16c48a0a1414a718d9d45d25.json,control_full,5,false
a6cf27a77f6f5dd6116096e95c16e7c1a616b419,0,,artifacts_folder/artifacts_full/full-scan-a6cf27a77f6f5dd6116096e95c16e7c1a616b419.json,control_full,5,false
42a1dd640ca42ccfc22b00ba29d1bb0c3e51c9d2,0,,artifacts_folder/artifacts_full/full-scan-42a1dd640ca42ccfc22b00ba29d1bb0c3e51c9d2.json,control_full,4,false
9ebebdef98a6aacfbedcf2ca61ba0eaecc2563f4,0,,artifacts_folder/artifacts_full/full-scan-9ebebdef98a6aacfbedcf2ca61ba0eaecc2563f4.json,control_full,4,false
c54d0347e24f38b40881f1e0a8bfc9fbce583298,0,,artifacts_folder/artifacts_full/full-scan-c54d0347e24f38b40881f1e0a8bfc9fbce583298.json,control_full,5,false
fe0583ba49cf162e1a7fe35ae05de6a62b8372fa,0,,artifacts_folder/artifacts_full/full-scan-fe0583ba49cf162e1a7fe35ae05de6a62b8372fa.json,control_full,5,false
7bc45877a86192af77645e156eb3744f95b47dae,0,,artifacts_folder/artifacts_full/full-scan-7bc45877a86192af77645e156eb3744f95b47dae.json,control_full,4,false
a5cb4284e18555d9e179f309356178410dbfdaf1,0,,artifacts_folder/artifacts_full/full-scan-a5cb4284e18555d9e179f309356178410dbfdaf1.json,control_full,4,false
2019450b43511289d45c6b3e7376f2813e1c27b4,0,,artifacts_folder/artifacts_full/full-scan-2019450b43511289d45c6b3e7376f2813e1c27b4.json,control_full,5,false
96ba401c1296ab1dda74a2365ef36d88f7d144ef,0,,artifacts_folder/artifacts_full/full-scan-96ba401c1296ab1dda74a2365ef36d88f7d144ef.json,control_full,5,false
1764cc938efc3cc9720188dfa6c3852c45211aa0,0,,artifacts_folder/artifacts_full/full-scan-1764cc938efc3cc9720188dfa6c3852c45211aa0.json,control_full,5,false
6716d7c9f29df636643fa2489f98890216525cb0,0,,artifacts_folder/artifacts_full/full-scan-6716d7c9f29df636643fa2489f98890216525cb0.json,control_full,4,false
8ba805fa93c3f0fc958b48bc136ed565d7c82872,0,,artifacts_folder/artifacts_full/full-scan-8ba805fa93c3f0fc958b48bc136ed565d7c82872.json,control_full,5,false
5d31ddbf7b3f512dd3c61952d2c16e980a2b7dc1,0,,artifacts_folder/artifacts_full/full-scan-5d31ddbf7b3f512dd3c61952d2c16e980a2b7dc1.json,control_full,4,false
11f63a330bc7b9026086e3d259f400f9c702b542,0,,artifacts_folder/artifacts_full/full-scan-11f63a330bc7b9026086e3d259f400f9c702b542.json,control_full,5,false
23540c93cac97c763fe59e843a08fa2825aa80fd,0,,artifacts_folder/artifacts_full/full-scan-23540c93cac97c763fe59e843a08fa2825aa80fd.json,control_full,4,false
b25f2b5ec2a113d4b3a1e6311f617a015f4155f3,0,,artifacts_folder/artifacts_full/full-scan-b25f2b5ec2a113d4b3a1e6311f617a015f4155f3.json,control_full,4,false
f761e74a4d50d2e88d9e30e660494b36c9d630f8,0,,artifacts_folder/artifacts_full/full-scan-f761e74a4d50d2e88d9e30e660494b36c9d630f8.json,control_full,5,false
